"","id","leaderboardId","hash","name","description","uploaderId","uploaderName","uploaderHash","uploaderAvatar","uploaderLoginType","uploaderCurator","uploaderVerifiedMapper","bpm","duration","songName","songSubName","songAuthorName","levelAuthorName","plays","dailyPlays","downloads","upvotes","downvotes","upvotesRatio","uploadedAt","createdAt","updatedAt","lastPublishedAt","automapper","qualified","loved","difficulty","sageScore","njs","offset","notes","bombs","obstacles","nps","length","characteristic","events","chroma","me","ne","cinema","seconds","errors","warns","resets","positiveModifiers","stars","maxScore","downloadUrl","coverUrl","previewUrl","tags"
0,"9d7",51175,"8AF82A87167070A08EC63DBA0459C829C2954067","Back in Black - AC/DC","CAUSE I'M BACK IN BLAAAAAAACK! All difficulties, full lights.

Was charted form start to finish on my twitch, come watch me stream other chart creations!!!!  https://www.twitch.tv/freeek

Expert FC Video: https://www.youtube.com/watch?v=ZxLxbSfSEPA",47581,"freeek","5cff0b7298cc5a672c84e8ad","https://www.gravatar.com/avatar/99a54d6913b56b58a40bc0c7debce8ea6e057dcc2f72224f18745537c539224f?d=retro","SIMPLE",False,True,95.0,241,"Back in Black","","AC/DC","Freeek",32258,2,0,13118,501,0.9614,"2018-07-16T11:58:36Z","2018-07-16T11:58:36Z","2018-07-16T11:58:36Z","2018-07-16T11:58:36Z",False,False,False,"Easy",5.0,10.0,0.0,450,0,31,1.947,366.0,"Standard",1258,False,False,False,False,231.158,19,2,0,False,3.03,406755,"https://r2cdn.beatsaver.com/8af82a87167070a08ec63dba0459c829c2954067.zip","https://cfcdn.beatsaver.com/8af82a87167070a08ec63dba0459c829c2954067.jpg","https://cfcdn.beatsaver.com/8af82a87167070a08ec63dba0459c829c2954067.mp3","rock"
1,"9d7",51175,"8AF82A87167070A08EC63DBA0459C829C2954067","Back in Black - AC/DC","CAUSE I'M BACK IN BLAAAAAAACK! All difficulties, full lights.

Was charted form start to finish on my twitch, come watch me stream other chart creations!!!!  https://www.twitch.tv/freeek

Expert FC Video: https://www.youtube.com/watch?v=ZxLxbSfSEPA",47581,"freeek","5cff0b7298cc5a672c84e8ad","https://www.gravatar.com/avatar/99a54d6913b56b58a40bc0c7debce8ea6e057dcc2f72224f18745537c539224f?d=retro","SIMPLE",False,True,95.0,241,"Back in Black","","AC/DC","Freeek",32258,2,0,13118,501,0.9614,"2018-07-16T11:58:36Z","2018-07-16T11:58:36Z","2018-07-16T11:58:36Z","2018-07-16T11:58:36Z",False,False,False,"Normal",5.0,10.0,0.0,563,0,47,2.436,366.0,"Standard",1258,False,False,False,False,231.158,87,21,0,False,3.66,510715,"https://r2cdn.beatsaver.com/8af82a87167070a08ec63dba0459c829c2954067.zip","https://cfcdn.beatsaver.com/8af82a87167070a08ec63dba0459c829c2954067.jpg","https://cfcdn.beatsaver.com/8af82a87167070a08ec63dba0459c829c2954067.mp3","rock"
2,"9d7",51175,"8AF82A87167070A08EC63DBA0459C829C2954067","Back in Black - AC/DC","CAUSE I'M BACK IN BLAAAAAAACK! All difficulties, full lights.

Was charted form start to finish on my twitch, come watch me stream other chart creations!!!!  https://www.twitch.tv/freeek

Expert FC Video: https://www.youtube.com/watch?v=ZxLxbSfSEPA",47581,"freeek","5cff0b7298cc5a672c84e8ad","https://www.gravatar.com/avatar/99a54d6913b56b58a40bc0c7debce8ea6e057dcc2f72224f18745537c539224f?d=retro","SIMPLE",False,True,95.0,241,"Back in Black","","AC/DC","Freeek",32258,2,0,13118,501,0.9614,"2018-07-16T11:58:36Z","2018-07-16T11:58:36Z","2018-07-16T11:58:36Z","2018-07-16T11:58:36Z",False,False,False,"Hard",5.0,10.0,0.0,683,0,47,2.955,366.0,"Standard",1258,False,False,False,False,231.158,81,89,0,False,4.37,621115,"https://r2cdn.beatsaver.com/8af82a87167070a08ec63dba0459c829c2954067.zip","https://cfcdn.beatsaver.com/8af82a87167070a08ec63dba0459c829c2954067.jpg","https://cfcdn.beatsaver.com/8af82a87167070a08ec63dba0459c829c2954067.mp3","rock"
3,"995",48541,"F4A7B0335869E42FF6A2FA82D2A527B0E6BC0C73","Energy Drink - Virtual Riot","I saw someone beat me to uploading the track. I was working on a shortened version of the song so a player won't need as much stamina to last through it. 
Included is a Normal, Hard, Expert Difficulty spread. This should be a much more accessible version of Energy Drink.

BPM: 128
Time: ~2:30
Preview here: https://youtu.be/d-0DWTpedNQ",4284933,"Moriik","5cff0b7298cc5a672c84ec2d","https://cdn.beatsaver.com/avatar/9c1fcabb7224f91bd4cbfebf614c42536ff64ab5.png","DISCORD",False,True,128.0,139,"Energy Drink","","Chart By Moriik","Virtual Riot",3417,1,0,963,96,0.9015,"2018-07-15T02:49:20Z","2018-07-15T02:49:20Z","2018-07-15T02:49:20Z","2018-07-15T02:49:20Z",False,False,False,"Normal",5.0,9.0,0.0,189,0,55,1.557,259.0,"Standard",1548,False,False,False,False,121.406,34,28,0,False,4.15,166635,"https://r2cdn.beatsaver.com/f4a7b0335869e42ff6a2fa82d2a527b0e6bc0c73.zip","https://cfcdn.beatsaver.com/f4a7b0335869e42ff6a2fa82d2a527b0e6bc0c73.jpg","https://cfcdn.beatsaver.com/f4a7b0335869e42ff6a2fa82d2a527b0e6bc0c73.mp3","electronic"
4,"995",48541,"F4A7B0335869E42FF6A2FA82D2A527B0E6BC0C73","Energy Drink - Virtual Riot","I saw someone beat me to uploading the track. I was working on a shortened version of the song so a player won't need as much stamina to last through it. 
Included is a Normal, Hard, Expert Difficulty spread. This should be a much more accessible version of Energy Drink.

BPM: 128
Time: ~2:30
Preview here: https://youtu.be/d-0DWTpedNQ",4284933,"Moriik","5cff0b7298cc5a672c84ec2d","https://cdn.beatsaver.com/avatar/9c1fcabb7224f91bd4cbfebf614c42536ff64ab5.png","DISCORD",False,True,128.0,139,"Energy Drink","","Chart By Moriik","Virtual Riot",3417,1,0,963,96,0.9015,"2018-07-15T02:49:20Z","2018-07-15T02:49:20Z","2018-07-15T02:49:20Z","2018-07-15T02:49:20Z",False,False,False,"Hard",5.0,10.0,0.0,329,0,58,2.699,260.0,"Standard",1548,False,False,False,False,121.875,62,47,0,False,4.61,295435,"https://r2cdn.beatsaver.com/f4a7b0335869e42ff6a2fa82d2a527b0e6bc0c73.zip","https://cfcdn.beatsaver.com/f4a7b0335869e42ff6a2fa82d2a527b0e6bc0c73.jpg","https://cfcdn.beatsaver.com/f4a7b0335869e42ff6a2fa82d2a527b0e6bc0c73.mp3","electronic"
5,"94c",46809,"3B6FA2F63B901F2407C676443B0A8896213ED387","IZECOLD - Swiggity","From Normal to Expert+ / Time: 2:33 / BPM: 128 / Notes Expert+ 605 (Originally made for ex+)
Preview: 
https://www.youtube.com/watch?v=yRJ18qvfqXw",4286278,"ruckus","5cff0b7398cc5a672c84f1d8","https://cdn.beatsaver.com/avatar/abe10e725818329f7e000e7db5d3e562de61ead9.png","DISCORD",False,True,128.0,154,"Swiggity","","IZECOLD","Ruckus",3427,0,0,601,191,0.7529,"2018-07-13T18:19:01Z","2018-07-13T18:19:01Z","2018-07-13T18:19:01Z","2018-07-13T18:19:01Z",False,False,False,"Normal",2.0,10.0,0.0,319,36,19,2.355,289.0,"Standard",748,False,False,False,False,135.469,55,11,8,False,4.71,286235,"https://r2cdn.beatsaver.com/3b6fa2f63b901f2407c676443b0a8896213ed387.zip","https://cfcdn.beatsaver.com/3b6fa2f63b901f2407c676443b0a8896213ed387.jpg","https://cfcdn.beatsaver.com/3b6fa2f63b901f2407c676443b0a8896213ed387.mp3","dance"
6,"94c",46809,"3B6FA2F63B901F2407C676443B0A8896213ED387","IZECOLD - Swiggity","From Normal to Expert+ / Time: 2:33 / BPM: 128 / Notes Expert+ 605 (Originally made for ex+)
Preview: 
https://www.youtube.com/watch?v=yRJ18qvfqXw",4286278,"ruckus","5cff0b7398cc5a672c84f1d8","https://cdn.beatsaver.com/avatar/abe10e725818329f7e000e7db5d3e562de61ead9.png","DISCORD",False,True,128.0,154,"Swiggity","","IZECOLD","Ruckus",3427,0,0,601,191,0.7529,"2018-07-13T18:19:01Z","2018-07-13T18:19:01Z","2018-07-13T18:19:01Z","2018-07-13T18:19:01Z",False,False,False,"Hard",2.0,10.0,0.0,440,42,20,3.248,289.0,"Standard",748,False,False,False,False,135.469,84,19,10,False,4.61,397555,"https://r2cdn.beatsaver.com/3b6fa2f63b901f2407c676443b0a8896213ed387.zip","https://cfcdn.beatsaver.com/3b6fa2f63b901f2407c676443b0a8896213ed387.jpg","https://cfcdn.beatsaver.com/3b6fa2f63b901f2407c676443b0a8896213ed387.mp3","dance"
7,"94c",46809,"3B6FA2F63B901F2407C676443B0A8896213ED387","IZECOLD - Swiggity","From Normal to Expert+ / Time: 2:33 / BPM: 128 / Notes Expert+ 605 (Originally made for ex+)
Preview: 
https://www.youtube.com/watch?v=yRJ18qvfqXw",4286278,"ruckus","5cff0b7398cc5a672c84f1d8","https://cdn.beatsaver.com/avatar/abe10e725818329f7e000e7db5d3e562de61ead9.png","DISCORD",False,True,128.0,154,"Swiggity","","IZECOLD","Ruckus",3427,0,0,601,191,0.7529,"2018-07-13T18:19:01Z","2018-07-13T18:19:01Z","2018-07-13T18:19:01Z","2018-07-13T18:19:01Z",False,False,False,"Expert",2.0,10.0,0.0,552,42,28,4.071,289.25,"Standard",748,False,False,False,False,135.586,79,36,11,False,5.26,500595,"https://r2cdn.beatsaver.com/3b6fa2f63b901f2407c676443b0a8896213ed387.zip","https://cfcdn.beatsaver.com/3b6fa2f63b901f2407c676443b0a8896213ed387.jpg","https://cfcdn.beatsaver.com/3b6fa2f63b901f2407c676443b0a8896213ed387.mp3","dance"
8,"90f",45370,"D9D103EC2CBFC1D4CC229A9D118AEA286850039A","BTH 5 - Take Me High","Waddup beaters!?

I'm pleased to announce the release of BRING THE HYPE 5, the FIFTH hype inducing song pack in the ""Bring The Hype"" series for Beat Saber!

This is the song pack ""Bring The Hype 5"", or BTH 5 for short. Each song is intended to bring the hype, and has a heavy influence on liquid drum and bass & high energy happy hardcore. Every song contains Expert or Expert+ chart. Easier difficulties will be added at a later date. If you've been out of the loop, check out the previous song packs, BTH, BTH 2, BTH 3, & BTH 4.

To find the songs on BeatSaver, search for ""BTH"" and scroll until you see BTH 5.


Song list:
BTH 5 - Amazing - Inna ft. Hixxy, Sy & Unknown
BTH 5 - Down Like That - Darren Styles & Chris Unknown
BTH 5 - Everytime I Hear Your Name - Dougal & Gammer ft. Niki Mak
BTH 5 - Guitar Hero - Dougal & Gammer
BTH 5 - How to Save a Life - The Fray (Gammer Remix)
BTH 5 - Power is Power - KO3
BTH 5 - Take Me High - Omegatypez (Kutski & Gammer Remix)
BTH 5 - This is HDM - Relect



-credits-
All charts created by M.Rappold
Artwork created by Rust_ITG
Shoutout to my main testers: Foxx33 / Arashi / Edzo / Jake / Alabaster


Leave a STAR on BeatSaver if you appreciated the songs/charts. Don't forget to leave me ( @M.Rappold#5304 )feedback, any and all (positive and negative) truly helps keep the series alive!",47984,"mars","5cff0b7298cc5a672c84e8fd","https://www.gravatar.com/avatar/d158be41db87d7055fa9548fe9c0e3cb685983fedb4f2d648d7a25c046d72d9d?d=retro","SIMPLE",False,"",170.0,147,"BTH 5 - Take Me High","","(Charted by M.Rappold)","Omegatypez (Kutski & Gammer Remix)",1953,1,0,185,57,0.7517,"2018-07-12T16:14:08Z","2018-07-12T16:14:08Z","2018-07-12T16:14:08Z","2018-07-12T16:14:08Z",False,False,False,"ExpertPlus",4.0,10.0,0.0,594,48,0,4.293,392.0,"Standard",642,False,False,False,False,138.353,58,71,0,False,5.5,539235,"https://r2cdn.beatsaver.com/d9d103ec2cbfc1d4cc229a9d118aea286850039a.zip","https://cfcdn.beatsaver.com/d9d103ec2cbfc1d4cc229a9d118aea286850039a.jpg","https://cfcdn.beatsaver.com/d9d103ec2cbfc1d4cc229a9d118aea286850039a.mp3",""
9,"8ac",40892,"9DAB46C9D19CB11F896C577C37AA4A99F33C057D","Lonely Departure (Old Version) - Chroma","Difficulties Offered:
-Easy
-Hard
-Expert

Genre: EDM
Song: Lonely Departure
Composer: Chroma
Length: 2:46
BPM: 175
Illustration: Noxy Games Inc.

Definitely harder than my first song. Hope you guys enjoy it!

Special thanks to [Arashi] and [Garsche] from discord and twitch for playtesting the song! Go check them out! Thank you guys so much!

________________________________________________________________________________________________________________________

EDIT: IMPORTANT NOTE!

Due to the song receiving mixed reviews while having vision problems, I have decided to rework this song. The vision aspect was originally intended as part of the difficulty, but after experience, I have learned that this idea is unacceptable in Beat Saber. With that said, I will be making adjustments soon in order to improve vision and flow while maintaining the same speed. Most parts will be kept, but I will definitely change the parts most players struggle on.

I will leave this version available if you still wish to experience the original version of ""Lonely Departure - Chroma"". But keep in mind that there will be a reworked version with better vision and flow. Feel free to delete this version as well. I'll leave that up to you.

Please look forward to the changes. I hope you will enjoy the new version!

-shadowlord723

___________________________________________________________________________________________________________________________

EDIT 2: 

Reworked version is now uploaded! Link is below: 

https://beatsaver.com/index.php/browse/detail/4102-3310",42181,"shadowlord723","5cff0b7398cc5a672c84f7c9","https://cdn.beatsaver.com/avatar/42181.jpg","SIMPLE",False,True,175.0,166,"Lonely Departure","","Chroma","shadowlord723",559,0,0,77,42,0.636,"2018-07-09T06:06:41Z","2018-07-09T06:06:41Z","2018-07-09T06:06:41Z","2018-07-09T06:06:41Z",False,False,False,"Easy",8.0,12.0,0.0,279,7,14,1.708,476.5,"Standard",1121,False,False,False,False,163.371,43,13,0,False,5.23,249435,"https://r2cdn.beatsaver.com/9dab46c9d19cb11f896c577c37aa4a99f33c057d.zip","https://cfcdn.beatsaver.com/9dab46c9d19cb11f896c577c37aa4a99f33c057d.jpg","https://cfcdn.beatsaver.com/9dab46c9d19cb11f896c577c37aa4a99f33c057d.mp3",""
